Frequency_GHz,S11_dB
2850000000.0,-0.745258873149
2860000000.0,-0.741118303642
2870000000.0,-0.737339754451
2880000000.0,-0.733901879615
2890000000.0,-0.730785960606
2900000000.0,-0.727975654187
2910000000.0,-0.725456774452
2920000000.0,-0.723217104351
2930000000.0,-0.721246232759
2940000000.0,-0.719535413727
2950000000.0,-0.718077445099
2960000000.0,-0.716866564068
2970000000.0,-0.715898357631
2980000000.0,-0.715169686188
2990000000.0,-0.714678618785
3000000000.0,-0.714424378725
